RentalID,EmployeeID,CustomerID,RentalDetailID,StartDate,TerminationDate
1,2,90,1,2025-02-01,2025-02-25
2,2,39,2,2025-06-18,2025-07-21
3,3,97,3,2025-08-02,NULL
4,12,77,4,2025-07-11,NULL
5,7,94,5,2025-02-16,2025-03-27
6,18,26,6,2025-03-28,NULL
7,6,51,7,2025-08-21,2025-09-18
8,6,24,8,2024-11-18,2024-12-29
9,18,94,9,2025-07-31,2025-09-10
10,15,85,10,2025-05-09,2025-05-18
11,12,18,11,2025-05-06,2025-06-09
12,19,42,12,2025-09-29,2025-10-24
13,15,40,13,2025-09-14,2025-10-22
14,1,77,14,2024-10-22,2024-11-22
15,2,85,15,2025-06-09,2025-07-15
16,18,73,16,2025-04-13,2025-05-20
17,7,99,17,2025-05-07,NULL
18,10,88,18,2024-11-25,2024-12-22
19,10,13,19,2025-08-07,2025-08-24
20,2,62,20,2025-03-22,2025-04-10
21,16,14,21,2025-03-27,2025-04-12
22,2,47,22,2025-01-01,2025-02-07
23,16,27,23,2025-06-29,2025-08-12
24,17,47,24,2024-12-03,2025-01-05
25,3,68,25,2024-12-05,2024-12-13
26,9,2,26,2025-01-01,2025-02-10
27,2,100,27,2025-05-26,NULL
28,5,66,28,2024-10-08,2024-10-24
29,14,37,29,2025-01-14,2025-02-07
30,18,7,30,2025-05-13,2025-06-17
31,12,58,31,2025-06-22,NULL
32,12,21,32,2024-11-14,NULL
33,17,57,33,2025-01-04,NULL
34,11,4,34,2025-05-16,NULL
35,5,25,35,2024-11-14,2024-12-28
36,16,3,36,2024-12-29,NULL
37,10,76,37,2025-09-20,2025-10-22
38,12,40,38,2025-04-01,NULL
39,9,37,39,2024-10-18,2024-12-01
40,19,9,40,2025-06-09,2025-07-23
41,8,25,41,2024-10-28,2024-12-12
42,13,83,42,2024-10-28,2024-12-07
43,12,30,43,2025-05-23,2025-06-30
44,9,22,44,2025-06-13,2025-07-07
45,6,19,45,2025-06-15,2025-07-26
46,8,33,46,2024-12-30,NULL
47,11,91,47,2025-03-14,2025-03-30
48,1,56,48,2025-09-09,2025-10-19
49,17,36,49,2025-03-19,NULL
50,9,11,50,2024-10-29,NULL
51,8,34,51,2025-04-27,2025-05-30
52,20,12,52,2025-03-17,2025-04-27
53,1,36,53,2024-11-28,2024-12-23
54,8,34,54,2025-09-15,NULL
55,12,21,55,2025-04-02,2025-04-11
56,16,40,56,2025-08-03,2025-08-22
57,20,40,57,2025-01-05,2025-02-03
58,1,54,58,2025-01-18,2025-02-04
59,2,40,59,2025-04-28,2025-05-16
60,20,41,60,2025-06-21,2025-07-24
61,18,90,61,2025-04-30,2025-05-27
62,20,39,62,2025-01-07,NULL
63,20,95,63,2025-09-24,NULL
64,5,24,64,2025-04-19,NULL
65,14,35,65,2025-09-21,2025-10-30
66,19,49,66,2024-10-13,2024-11-05
67,18,18,67,2025-08-17,2025-09-02
68,7,57,68,2025-08-18,2025-09-29
69,11,42,69,2025-09-29,2025-10-11
70,9,41,70,2025-01-11,2025-01-28
71,17,13,71,2024-10-13,2024-11-27
72,1,44,72,2024-10-18,2024-11-08
73,5,40,73,2025-01-25,2025-02-28
74,9,40,74,2025-05-15,NULL
75,18,32,75,2025-06-16,2025-07-04
76,11,85,76,2024-11-06,NULL
77,3,10,77,2025-09-11,NULL
78,3,6,78,2025-04-22,2025-05-26
79,9,97,79,2025-07-25,2025-08-13
80,13,83,80,2025-02-12,2025-02-23
81,13,82,81,2025-05-17,2025-05-27
82,8,30,82,2024-11-26,2024-12-10
83,16,44,83,2025-06-24,NULL
84,20,19,84,2024-12-15,2024-12-28
85,4,73,85,2024-12-31,NULL
86,4,18,86,2025-02-27,2025-03-13
87,11,62,87,2025-01-03,2025-01-25
88,18,37,88,2024-12-01,2024-12-15
89,19,98,89,2024-10-09,2024-10-19
90,14,64,90,2025-02-20,2025-03-26
91,13,7,91,2025-01-31,2025-03-08
92,12,47,92,2025-07-09,2025-08-06
93,3,58,93,2025-02-03,2025-02-13
94,13,43,94,2024-12-20,2025-01-14
95,19,49,95,2025-03-21,2025-04-28
96,17,99,96,2025-08-06,NULL
97,8,8,97,2025-01-02,NULL
98,13,29,98,2025-09-29,2025-10-26
99,16,89,99,2024-12-30,2025-01-25
100,20,82,100,2025-03-09,NULL
101,18,91,101,2024-11-08,2024-12-01
102,7,9,102,2025-04-08,2025-04-30
103,16,91,103,2024-10-13,2024-10-31
104,16,95,104,2025-04-30,NULL
105,2,40,105,2025-01-04,2025-01-26
106,13,59,106,2025-01-25,2025-02-13
107,17,80,107,2025-01-12,2025-02-15
108,10,64,108,2025-03-24,2025-03-31
109,4,66,109,2025-04-09,2025-04-16
110,14,100,110,2025-08-17,2025-08-31
