BookID,BookInfoID,SupplierID,AuthorID,ReviewID,Copy
1,74,7,47,NULL,1
2,164,9,48,NULL,4
3,116,3,30,NULL,8
4,76,5,8,26,6
5,9,6,29,NULL,5
6,191,2,49,33,5
7,147,6,12,NULL,1
8,136,4,47,NULL,7
9,61,7,31,NULL,1
10,94,4,2,34,5
11,174,9,46,NULL,9
12,125,9,20,65,7
13,54,6,48,79,4
14,169,10,9,NULL,3
15,21,1,30,12,2
16,15,1,31,6,4
17,17,4,33,NULL,3
18,173,8,12,NULL,8
19,65,6,41,NULL,6
20,76,3,17,NULL,7
21,45,2,8,NULL,10
22,159,10,30,NULL,7
23,58,8,34,NULL,8
24,84,9,26,NULL,9
25,27,9,49,NULL,8
26,167,1,9,NULL,6
27,161,1,46,NULL,7
28,34,9,45,31,3
29,51,7,18,NULL,3
30,155,10,28,54,6
31,121,4,36,50,9
32,132,4,28,NULL,6
33,59,10,5,NULL,2
34,11,1,22,16,9
35,131,6,11,NULL,3
36,34,8,9,NULL,1
37,24,3,20,NULL,5
38,109,2,37,72,10
39,55,9,5,NULL,1
40,84,1,16,NULL,3
41,110,8,6,NULL,10
42,150,7,31,NULL,10
43,114,5,7,NULL,8
44,190,4,32,NULL,9
45,179,2,41,8,1
46,3,4,30,58,7
47,142,10,45,8,3
48,106,4,5,NULL,5
49,3,8,38,NULL,6
50,128,10,9,59,4
51,66,10,26,NULL,9
52,116,6,6,NULL,9
53,14,1,30,NULL,6
54,75,4,17,NULL,2
55,169,5,20,NULL,10
56,161,3,5,3,6
57,149,10,4,34,10
58,11,6,1,NULL,6
59,193,8,2,67,9
60,156,10,6,NULL,3
61,43,9,24,39,2
62,180,9,10,53,1
63,71,6,8,NULL,6
64,102,5,29,29,5
65,190,2,2,NULL,6
66,135,8,16,NULL,5
67,95,7,36,NULL,6
68,110,9,13,NULL,2
69,91,8,49,NULL,2
70,45,6,48,NULL,10
71,75,3,27,NULL,5
72,35,1,18,NULL,5
73,107,2,2,NULL,5
74,195,1,30,NULL,5
75,190,8,25,NULL,4
76,41,1,41,39,9
77,17,5,19,NULL,6
78,156,2,27,NULL,4
79,24,4,5,NULL,9
80,175,3,19,54,10
81,26,3,17,NULL,4
82,189,4,36,23,9
83,121,5,4,15,8
84,32,9,36,1,8
85,157,2,19,NULL,7
86,42,2,23,NULL,1
87,102,10,22,NULL,3
88,1,6,14,NULL,3
89,175,6,12,NULL,6
90,27,1,2,36,2
91,195,10,1,NULL,8
92,151,10,29,22,3
93,179,6,26,68,10
94,131,1,25,NULL,2
95,189,7,20,NULL,7
96,180,10,25,NULL,2
97,77,10,10,37,8
98,153,1,6,NULL,4
99,166,6,27,33,10
100,173,4,45,NULL,8
101,8,3,28,NULL,3
102,186,10,32,NULL,4
103,94,7,12,NULL,4
104,59,3,45,55,1
105,163,10,42,3,6
106,129,5,4,36,5
107,35,5,8,NULL,6
108,75,9,40,NULL,10
109,52,5,43,NULL,3
110,103,9,48,NULL,9
111,63,2,32,75,3
112,154,4,21,21,3
113,23,9,1,14,4
114,145,7,42,NULL,9
115,149,7,40,NULL,10
116,2,9,44,71,4
117,112,3,26,58,5
118,184,5,6,43,10
119,124,5,11,NULL,5
120,199,8,34,NULL,10
121,82,7,1,6,4
122,181,7,25,NULL,10
123,11,4,22,NULL,6
124,174,2,50,NULL,9
125,143,6,45,45,8
126,197,3,43,NULL,4
127,41,6,48,NULL,1
128,160,2,3,47,1
129,182,3,19,NULL,10
130,94,5,27,NULL,3
131,79,1,49,NULL,8
132,147,5,2,NULL,2
133,53,10,30,NULL,10
134,176,6,48,69,7
135,5,1,16,NULL,9
136,67,10,4,43,9
137,39,8,30,NULL,3
138,90,7,19,70,7
139,91,3,27,34,9
140,17,1,46,62,2
141,88,2,13,10,1
142,6,10,16,78,10
143,58,9,20,72,2
144,141,6,25,NULL,2
145,69,7,21,55,4
146,92,7,18,NULL,9
147,183,5,1,NULL,8
148,195,3,14,9,10
149,13,3,43,NULL,7
150,33,9,50,NULL,3
151,34,3,40,NULL,1
152,163,10,32,45,6
153,60,8,44,73,1
154,13,7,3,NULL,6
155,146,6,8,NULL,5
156,171,10,5,NULL,4
157,134,3,6,NULL,4
158,55,1,19,NULL,1
159,82,4,9,NULL,4
160,117,3,27,61,8
161,23,3,14,33,3
162,181,1,17,41,9
163,155,5,46,31,9
164,132,7,42,10,3
165,91,6,14,NULL,1
166,14,1,46,NULL,8
167,113,5,35,NULL,3
168,80,2,33,NULL,3
169,158,8,47,68,3
170,194,7,35,38,4
171,145,7,18,31,4
172,5,4,46,NULL,5
173,99,7,26,37,4
174,144,7,38,NULL,9
175,42,5,14,NULL,2
176,72,9,10,NULL,4
177,42,6,42,NULL,5
178,150,4,25,37,10
179,6,4,3,11,7
180,87,3,7,NULL,1
181,169,5,12,23,8
182,194,6,42,19,8
183,3,5,5,76,2
184,15,7,33,17,2
185,120,3,21,NULL,1
186,66,5,36,41,6
187,88,6,32,NULL,4
188,168,8,3,NULL,10
189,145,4,30,NULL,9
190,176,3,27,61,8
191,142,3,38,NULL,6
192,129,9,1,NULL,3
193,59,6,13,NULL,8
194,46,5,11,19,4
195,130,5,1,72,10
196,46,10,17,NULL,2
197,143,8,17,77,7
198,162,9,20,NULL,8
199,122,7,32,29,1
200,27,9,45,NULL,9
201,107,6,42,61,9
202,66,10,48,NULL,7
203,125,1,2,35,10
204,20,8,22,34,1
205,22,6,27,25,8
206,54,2,1,NULL,3
207,167,2,12,NULL,9
208,41,7,2,NULL,9
209,165,9,45,70,8
210,159,8,45,NULL,8
211,93,2,16,NULL,9
212,189,7,3,NULL,1
213,124,6,15,NULL,6
214,40,6,26,NULL,10
215,164,7,10,NULL,6
216,25,6,21,NULL,6
217,152,4,36,NULL,8
218,170,4,37,NULL,5
219,86,2,45,NULL,8
220,180,2,50,32,2
221,55,5,14,11,2
222,31,1,9,NULL,7
223,143,7,30,NULL,5
224,94,10,42,NULL,2
225,138,4,15,NULL,7
226,1,5,38,NULL,7
227,100,5,47,69,10
228,155,6,1,9,9
229,87,9,1,NULL,3
230,2,10,31,10,5
231,81,2,41,29,4
232,73,4,22,NULL,1
233,195,6,12,57,6
234,183,9,20,NULL,9
235,37,6,11,NULL,6
236,39,9,38,26,5
237,78,1,24,15,3
238,77,9,36,31,2
239,116,7,26,15,7
240,179,8,16,53,9
241,36,6,15,2,6
242,179,8,48,NULL,3
243,37,8,12,67,8
244,66,1,28,62,10
245,106,6,26,61,7
246,100,3,8,NULL,6
247,42,9,21,3,3
248,84,7,29,36,10
249,190,6,18,NULL,9
250,100,3,2,NULL,4
