RentalDetailID,RentalID,BookID,QuantityOfBook
1,1,170,2
2,2,184,2
3,3,112,1
4,4,230,1
5,5,102,3
6,6,179,1
7,7,158,3
8,8,89,2
9,9,200,1
10,10,110,3
11,11,173,3
12,12,20,1
13,13,29,3
14,14,126,1
15,15,190,2
16,16,100,1
17,17,111,3
18,18,97,2
19,19,209,2
20,20,145,1
21,21,74,3
22,22,204,2
23,23,226,2
24,24,226,3
25,25,234,2
26,26,237,3
27,27,78,3
28,28,237,3
29,29,59,2
30,30,229,3
31,31,134,1
32,32,243,1
33,33,142,3
34,34,169,2
35,35,106,2
36,36,245,2
37,37,19,1
38,38,169,2
39,39,163,2
40,40,79,3
41,41,213,3
42,42,79,2
43,43,239,1
44,44,211,3
45,45,132,2
46,46,173,1
47,47,221,1
48,48,54,2
49,49,153,1
50,50,112,2
51,51,94,3
52,52,60,2
53,53,211,3
54,54,7,2
55,55,195,1
56,56,220,1
57,57,150,2
58,58,72,2
59,59,151,3
60,60,49,3
61,61,133,1
62,62,114,3
63,63,102,2
64,64,126,2
65,65,85,1
66,66,184,1
67,67,65,2
68,68,67,3
69,69,208,2
70,70,138,1
71,71,188,1
72,72,168,2
73,73,214,2
74,74,80,1
75,75,99,1
76,76,12,2
77,77,129,2
78,78,177,1
79,79,157,3
80,80,79,2
81,81,209,3
82,82,35,1
83,83,206,3
84,84,36,3
85,85,48,1
86,86,55,3
87,87,80,3
88,88,210,2
89,89,224,1
90,90,178,1
91,91,148,2
92,92,55,1
93,93,172,2
94,94,244,1
95,95,130,1
96,96,245,3
97,97,49,1
98,98,213,2
99,99,240,1
100,100,37,1
101,101,16,2
102,102,101,1
103,103,186,3
104,104,250,1
105,105,37,3
106,106,201,2
107,107,9,3
108,108,35,2
109,109,83,2
110,110,158,3
111,111,53,1
112,112,94,2
113,113,236,1
114,114,11,2
115,115,179,2
116,116,159,3
117,117,141,2
118,118,92,3
119,119,69,1
120,120,63,1
121,121,4,1
122,122,191,1
123,123,124,2
124,124,80,3
125,125,95,2
126,126,214,1
127,127,130,3
128,128,206,2
129,129,45,1
130,130,123,2
131,131,120,3
132,132,20,2
133,133,164,2
134,134,66,1
135,135,109,2
136,136,192,1
137,137,137,2
138,138,219,2
139,139,64,2
140,140,172,3
141,141,158,2
142,142,12,1
143,143,87,3
144,144,225,1
145,145,176,1
146,146,126,1
147,147,104,3
148,148,126,3
149,149,242,2
150,150,38,1
