CourseID,TutorID,LocationID,TotalHour,SchoolYear,CreatedAt,UpdatedAt,IsDeleted
1,5,3,1800,2019/2020,2019-09-01,2020-05-24,0
2,12,3,1800,2021/2022,2021-09-01,2022-05-27,0
3,15,1,1800,2022/2023,2022-09-13,2023-02-04,0
4,10,3,1800,2023/2024,2023-09-03,2024-02-07,0
5,13,2,1800,2021/2022,2021-09-14,2022-03-09,0
6,10,1,1800,2019/2020,2019-09-06,2020-04-15,0
7,14,1,1800,2024/2025,2024-09-04,2025-03-22,0
8,1,1,1800,2024/2025,2024-09-14,2025-06-25,0
9,8,1,1800,2022/2023,2022-09-07,2023-04-18,0
10,2,2,1800,2024/2025,2024-09-01,2025-06-06,0
11,14,1,1800,2022/2023,2022-09-11,2023-03-19,0
12,4,3,1800,2023/2024,2023-09-15,2024-01-08,0
13,15,1,1800,2023/2024,2023-09-08,2024-03-02,0
14,10,3,1800,2024/2025,2024-09-15,2025-03-18,0
15,4,3,1800,2019/2020,2019-09-03,2020-03-01,0
16,7,1,1800,2020/2021,2020-09-13,2021-06-27,0
17,10,2,1800,2021/2022,2021-09-03,2022-05-08,0
18,7,3,1800,2024/2025,2024-09-15,2025-05-11,0
19,2,3,1800,2020/2021,2020-09-13,2021-06-24,0
20,7,1,1800,2024/2025,2024-09-06,2025-01-04,0
21,10,3,1800,2019/2020,2019-09-06,2020-05-25,0
22,11,2,1800,2022/2023,2022-09-13,2023-03-01,0
23,9,2,1800,2022/2023,2022-09-08,2023-02-12,0
24,11,2,1800,2022/2023,2022-09-03,2023-06-19,0
25,13,1,1800,2019/2020,2019-09-13,2020-05-10,0
26,3,2,1800,2024/2025,2024-09-02,2025-01-09,0
27,12,2,1800,2024/2025,2024-09-13,2025-06-05,0
28,5,2,1800,2021/2022,2021-09-02,2022-01-01,0
29,3,1,1800,2021/2022,2021-09-13,2022-03-04,0
30,9,3,1800,2020/2021,2020-09-07,2021-04-18,0
31,6,3,1800,2022/2023,2022-09-02,2023-01-03,0
32,6,2,1800,2019/2020,2019-09-10,2020-05-26,0
33,13,1,1800,2019/2020,2019-09-05,2020-04-13,0
34,10,3,1800,2024/2025,2024-09-15,2025-05-08,0
35,3,2,1800,2020/2021,2020-09-11,2021-04-06,0
36,2,1,1800,2021/2022,2021-09-05,2022-04-05,0
37,8,1,1800,2022/2023,2022-09-05,2023-04-10,0
38,11,2,1800,2021/2022,2021-09-05,2022-02-24,0
39,2,1,1800,2023/2024,2023-09-10,2024-02-15,0
40,14,3,1800,2021/2022,2021-09-01,2022-04-11,0
41,6,2,1800,2022/2023,2022-09-13,2023-03-15,0
42,6,3,1800,2024/2025,2024-09-10,2025-02-10,0
43,3,2,1800,2024/2025,2024-09-04,2025-04-11,0
44,11,2,1800,2021/2022,2021-09-05,2022-06-23,0
45,7,2,1800,2023/2024,2023-09-13,2024-02-11,0
46,4,3,1800,2022/2023,2022-09-06,2023-01-19,0
47,9,1,1800,2023/2024,2023-09-03,2024-06-25,0
