EnrollmentID,StudentID,CourseID,EnrollmentDate,CompletionDate,IsDeleted
1,280,1,2019-08-04,2020-11-02,0
2,112,1,2019-08-18,2020-06-29,0
3,218,1,2019-08-06,2020-07-16,0
4,53,1,2019-08-06,2020-08-22,0
5,377,1,2019-08-14,2020-10-09,0
6,425,1,2019-08-26,2020-08-07,0
7,335,1,2019-08-22,2020-10-03,0
8,385,1,2019-08-03,2020-06-18,0
9,127,1,2019-08-27,NULL,0
10,153,1,2019-08-06,2020-06-09,0
11,448,1,2019-08-23,NULL,0
12,17,1,2019-08-27,2020-06-27,0
13,231,1,2019-08-24,2020-08-15,0
14,135,1,2019-08-05,2020-11-14,0
15,179,1,2019-08-19,2020-10-19,0
16,442,1,2019-08-11,2020-09-08,0
17,419,1,2019-08-19,2020-11-03,0
18,45,1,2019-08-06,NULL,0
19,225,1,2019-08-29,2020-08-04,0
20,444,1,2019-08-09,NULL,0
21,61,1,2019-08-20,2020-09-26,0
22,398,1,2019-08-21,2020-06-17,0
23,416,1,2019-08-08,NULL,0
24,122,1,2019-08-11,2020-08-24,0
25,108,1,2019-08-04,2020-10-08,0
26,378,1,2019-08-19,2020-09-11,0
27,302,1,2019-08-05,2020-08-01,0
28,353,1,2019-08-21,NULL,0
29,180,1,2019-08-21,2020-06-27,0
30,404,2,2021-08-04,NULL,0
31,176,2,2021-08-23,2022-08-28,0
32,458,2,2021-08-23,2022-11-14,0
33,350,2,2021-08-03,2022-06-10,0
34,391,2,2021-08-19,2022-11-23,0
35,25,2,2021-08-07,2022-11-11,0
36,24,2,2021-08-29,2022-05-28,0
37,51,2,2021-08-25,2022-06-30,0
38,321,2,2021-08-13,2022-11-18,0
39,402,2,2021-08-17,2022-11-22,0
40,429,2,2021-08-21,NULL,0
41,236,2,2021-08-04,2022-06-30,0
42,9,2,2021-08-16,2022-09-03,0
43,64,2,2021-08-29,2022-06-23,0
44,476,2,2021-08-28,2022-08-12,0
45,440,2,2021-08-27,2022-07-01,0
46,81,2,2021-08-11,NULL,0
47,226,2,2021-08-27,2022-10-19,0
48,234,2,2021-08-31,2022-07-09,0
49,1,2,2021-08-17,2022-07-21,0
50,491,2,2021-08-11,2022-09-10,0
51,220,2,2021-08-12,2022-07-22,0
52,104,2,2021-08-29,NULL,0
53,353,2,2021-08-27,2022-10-25,0
54,466,2,2021-08-08,2022-09-14,0
55,68,2,2021-08-21,2022-07-30,0
56,452,2,2021-08-23,2022-07-30,0
57,333,2,2021-08-14,2022-10-30,0
58,155,2,2021-08-22,2022-11-20,0
59,82,2,2021-08-31,NULL,0
60,106,3,2022-08-15,NULL,0
61,266,3,2022-09-01,NULL,0
62,311,3,2022-09-08,2023-06-30,0
63,261,3,2022-08-30,2023-07-29,0
64,97,3,2022-09-07,2023-02-23,0
65,383,3,2022-09-12,2023-02-08,0
66,201,3,2022-09-04,2023-02-20,0
67,152,3,2022-08-18,2023-04-19,0
68,331,3,2022-08-23,2023-05-22,0
69,28,3,2022-08-30,2023-02-26,0
70,402,3,2022-08-23,2023-07-12,0
71,460,3,2022-09-08,2023-04-25,0
72,407,3,2022-09-10,2023-03-29,0
73,489,3,2022-08-18,2023-04-29,0
74,123,3,2022-08-31,2023-07-21,0
75,254,3,2022-08-22,2023-04-25,0
76,198,3,2022-08-21,2023-04-07,0
77,58,3,2022-09-11,2023-05-27,0
78,124,3,2022-09-09,2023-07-10,0
79,256,3,2022-09-11,2023-07-23,0
80,327,3,2022-08-20,2023-02-08,0
81,305,3,2022-08-21,2023-02-07,0
82,37,3,2022-09-07,2023-05-04,0
83,271,3,2022-08-27,2023-04-12,0
84,191,4,2023-08-15,2024-06-14,0
85,65,4,2023-08-19,2024-02-22,0
86,384,4,2023-08-18,NULL,0
87,400,4,2023-08-28,2024-04-13,0
88,448,4,2023-08-09,2024-07-03,0
89,138,4,2023-08-12,2024-04-06,0
90,376,4,2023-08-10,2024-02-19,0
91,454,4,2023-08-06,NULL,0
92,61,4,2023-08-26,2024-05-11,0
93,395,4,2023-08-21,NULL,0
94,461,4,2023-08-28,NULL,0
95,16,4,2023-08-06,2024-07-24,0
96,172,4,2023-08-20,2024-04-11,0
97,414,4,2023-08-20,NULL,0
98,220,4,2023-08-23,2024-02-27,0
99,140,4,2023-08-15,2024-06-15,0
100,269,4,2023-08-12,NULL,0
101,33,4,2023-08-28,2024-06-19,0
102,135,4,2023-09-01,NULL,0
103,365,4,2023-08-31,NULL,0
104,420,5,2021-08-16,2022-05-11,0
105,460,5,2021-09-09,2022-06-22,0
106,171,5,2021-09-13,2022-06-06,0
107,180,5,2021-08-24,NULL,0
108,49,5,2021-08-16,2022-06-03,0
109,300,5,2021-09-13,2022-06-14,0
110,250,5,2021-08-17,2022-05-27,0
111,6,5,2021-09-10,2022-05-09,0
112,201,5,2021-08-31,2022-03-25,0
113,113,5,2021-09-09,2022-04-02,0
114,161,5,2021-09-12,NULL,0
115,305,5,2021-08-16,NULL,0
116,425,5,2021-08-31,2022-06-13,0
117,167,5,2021-08-30,NULL,0
118,400,5,2021-09-11,2022-07-17,0
119,337,5,2021-09-09,2022-06-18,0
120,135,5,2021-09-11,2022-03-25,0
121,254,5,2021-08-31,2022-04-12,0
122,319,5,2021-09-06,2022-05-29,0
123,269,5,2021-08-15,NULL,0
124,419,5,2021-08-22,NULL,0
125,421,5,2021-09-03,2022-05-18,0
126,111,5,2021-09-06,2022-04-30,0
127,397,5,2021-09-09,2022-08-06,0
128,84,6,2019-08-31,NULL,0
129,58,6,2019-08-27,NULL,0
130,89,6,2019-08-14,2020-06-10,0
131,246,6,2019-08-10,NULL,0
132,254,6,2019-09-01,2020-06-18,0
133,171,6,2019-08-25,2020-04-28,0
134,222,6,2019-08-15,2020-05-30,0
135,66,6,2019-09-05,NULL,0
136,291,6,2019-08-09,2020-09-03,0
137,196,6,2019-08-29,2020-05-12,0
138,420,6,2019-08-11,2020-05-17,0
139,113,6,2019-09-05,2020-06-11,0
140,247,6,2019-09-01,2020-07-27,0
141,168,6,2019-08-25,2020-09-28,0
142,253,6,2019-09-03,2020-06-21,0
143,145,6,2019-08-07,NULL,0
144,466,6,2019-09-05,NULL,0
145,49,6,2019-08-30,NULL,0
146,415,7,2024-08-26,2025-04-30,0
147,66,7,2024-09-02,2025-08-27,0
148,48,7,2024-08-27,2025-07-28,0
149,464,7,2024-08-21,NULL,0
150,434,7,2024-08-19,2025-06-02,0
151,425,7,2024-08-22,2025-05-13,0
