ModuleID,TeacherID,FormativeUnitID,ModuleStateID,CourseID,ModuleName,StartDate,EndDate,IsDeleted
1,3,4,1,1,Web Developer AI,2019-09-25,NULL,0
2,2,11,2,1,Web Developer AI,2019-09-02,2019-12-21,0
3,3,2,2,1,Web Developer AI,2019-09-07,2019-11-28,0
4,5,9,1,2,Web Developer AI,2021-09-12,NULL,0
5,3,5,1,2,Web Developer AI,2021-10-18,NULL,0
6,1,1,1,2,Web Developer AI,2021-10-26,NULL,0
7,8,5,2,3,Web Developer AI,2022-12-07,2023-02-10,0
8,4,1,2,3,Web Developer AI,2022-12-11,2023-04-10,0
9,4,9,2,3,Web Developer AI,2022-12-11,2023-01-21,0
10,4,12,2,3,Web Developer AI,2022-09-18,2023-01-02,0
11,2,10,2,4,Web Developer AI,2023-10-09,2024-02-24,0
12,3,9,2,4,Web Developer AI,2023-11-13,2024-03-19,0
13,7,4,2,4,Web Developer AI,2023-10-25,2024-01-28,0
14,2,6,2,4,Web Developer AI,2023-12-01,2024-02-21,0
15,6,11,1,5,Web Developer AI,2021-11-07,NULL,0
16,2,12,2,5,Web Developer AI,2021-11-09,2022-02-10,0
17,7,4,2,5,Web Developer AI,2021-10-19,2021-12-16,0
18,6,6,2,5,Web Developer AI,2021-09-23,2021-11-14,0
19,3,3,1,5,Web Developer AI,2021-10-27,NULL,0
20,2,5,2,6,Web Developer AI,2019-10-05,2019-11-30,0
21,8,1,2,6,Web Developer AI,2019-09-29,2020-01-15,0
22,5,2,2,6,Web Developer AI,2019-09-19,2020-03-13,0
23,1,7,2,6,Web Developer AI,2019-11-16,2020-01-10,0
24,7,6,1,7,Web Developer AI,2024-11-30,NULL,0
25,1,7,2,7,Web Developer AI,2024-11-05,2025-02-09,0
26,3,3,2,7,Web Developer AI,2024-12-01,2025-02-08,0
27,1,12,2,7,Web Developer AI,2024-09-23,2024-12-30,0
28,8,12,2,8,Web Developer AI,2024-10-08,2025-02-05,0
29,4,4,2,8,Web Developer AI,2024-11-18,2025-04-06,0
30,5,10,2,8,Web Developer AI,2024-10-24,2024-12-15,0
31,2,7,1,8,Web Developer AI,2024-11-06,NULL,0
32,2,8,2,8,Web Developer AI,2024-12-05,2025-03-06,0
33,1,10,1,9,Web Developer AI,2022-11-17,NULL,0
34,8,1,2,9,Web Developer AI,2022-11-01,2023-01-04,0
35,2,2,2,9,Web Developer AI,2022-11-10,2023-04-25,0
36,1,5,2,9,Web Developer AI,2022-10-29,2023-01-15,0
37,4,12,1,10,Web Developer AI,2024-10-29,NULL,0
38,6,9,2,10,Web Developer AI,2024-09-24,2024-11-27,0
39,3,6,2,10,Web Developer AI,2024-09-08,2025-01-13,0
40,6,4,1,10,Web Developer AI,2024-10-19,NULL,0
41,2,1,2,10,Web Developer AI,2024-11-27,2025-05-14,0
42,5,5,2,10,Web Developer AI,2024-10-09,2025-01-22,0
43,1,1,1,11,Web Developer AI,2022-10-09,NULL,0
44,8,11,1,11,Web Developer AI,2022-11-10,NULL,0
45,6,10,2,11,Web Developer AI,2022-09-19,2023-02-13,0
46,6,7,2,11,Web Developer AI,2022-10-20,2022-11-20,0
