VoteID,StudentID,ModuleID,FirstVote,SecondVote,FinalVote,IsDeleted
1,280,2,9,8,8.5,0
2,280,3,7,3,5.0,0
3,112,2,3,2,2.5,0
4,112,3,10,6,8.0,0
5,218,2,1,4,2.5,0
6,218,3,10,1,5.5,0
7,53,1,9,NULL,NULL,0
8,53,2,1,4,2.5,0
9,53,3,2,1,1.5,0
10,377,1,3,NULL,NULL,0
11,377,2,6,6,6.0,0
12,377,3,4,5,4.5,0
13,425,1,7,NULL,NULL,0
14,425,2,2,2,2.0,0
15,425,3,9,4,6.5,0
16,335,2,6,4,5.0,0
17,335,3,5,6,5.5,0
18,385,2,4,9,6.5,0
19,385,3,6,9,7.5,0
20,127,2,7,10,8.5,0
21,127,3,2,4,3.0,0
22,153,2,9,4,6.5,0
23,153,3,9,4,6.5,0
24,448,1,3,NULL,NULL,0
25,448,2,4,8,6.0,0
26,448,3,8,2,5.0,0
27,17,1,1,NULL,NULL,0
28,17,2,10,7,8.5,0
29,17,3,2,1,1.5,0
30,231,1,10,NULL,NULL,0
31,231,2,1,7,4.0,0
32,231,3,1,4,2.5,0
33,135,1,3,NULL,NULL,0
34,135,2,9,1,5.0,0
35,135,3,1,9,5.0,0
36,442,2,5,10,7.5,0
37,442,3,1,6,3.5,0
38,419,2,7,1,4.0,0
39,419,3,9,7,8.0,0
40,45,3,9,8,8.5,0
41,225,2,9,5,7.0,0
42,225,3,7,8,7.5,0
43,444,3,1,5,3.0,0
44,61,3,4,9,6.5,0
45,398,1,10,NULL,NULL,0
46,398,2,10,5,7.5,0
47,398,3,5,10,7.5,0
48,416,1,5,NULL,NULL,0
49,416,2,6,5,5.5,0
50,416,3,8,8,8.0,0
51,122,1,1,NULL,NULL,0
52,122,2,6,8,7.0,0
53,122,3,9,4,6.5,0
54,108,2,2,5,3.5,0
55,108,3,9,6,7.5,0
56,378,2,5,5,5.0,0
57,378,3,8,3,5.5,0
58,302,1,3,NULL,NULL,0
59,302,2,10,1,5.5,0
60,302,3,1,3,2.0,0
61,353,2,10,6,8.0,0
62,353,3,4,1,2.5,0
63,404,4,6,NULL,NULL,0
64,404,6,4,NULL,NULL,0
65,176,5,8,NULL,NULL,0
66,176,6,2,NULL,NULL,0
67,458,4,6,NULL,NULL,0
68,350,5,7,NULL,NULL,0
69,391,4,6,NULL,NULL,0
70,24,5,1,NULL,NULL,0
71,24,6,1,NULL,NULL,0
72,51,4,3,NULL,NULL,0
73,51,6,10,NULL,NULL,0
74,321,4,6,NULL,NULL,0
75,429,4,10,NULL,NULL,0
76,429,5,3,NULL,NULL,0
77,236,5,2,NULL,NULL,0
78,476,4,9,NULL,NULL,0
79,81,4,10,NULL,NULL,0
80,81,5,4,NULL,NULL,0
81,226,6,6,NULL,NULL,0
82,234,5,4,NULL,NULL,0
83,1,6,9,NULL,NULL,0
84,104,6,9,NULL,NULL,0
85,353,4,7,NULL,NULL,0
