CustomerOrderID,CustomerID,OrderTakerID,OrderDate,CouponID
1,142,29,2025-10-07,2
2,20,13,2025-08-14,NULL
3,31,18,2025-06-18,NULL
4,122,7,2025-08-10,NULL
5,34,7,2025-04-09,13
6,124,1,2025-06-23,NULL
7,19,5,2025-07-30,NULL
8,64,29,2025-08-20,NULL
9,31,25,2025-08-04,NULL
10,192,18,2025-05-24,1
11,4,50,2025-07-21,8
12,197,23,2025-04-10,11
13,140,43,2025-07-22,NULL
14,82,39,2025-06-15,NULL
15,53,43,2025-08-01,NULL
16,183,2,2025-05-02,NULL
17,52,13,2025-09-20,NULL
18,114,17,2025-09-04,NULL
19,91,49,2025-08-18,NULL
20,131,48,2025-07-02,7
21,165,11,2025-05-07,6
22,130,17,2025-07-04,NULL
23,6,18,2025-09-10,10
24,19,38,2025-09-29,NULL
25,5,38,2025-06-30,NULL
26,194,32,2025-06-04,NULL
27,187,25,2025-09-10,1
28,167,1,2025-04-09,NULL
29,152,31,2025-05-01,6
30,131,18,2025-05-28,NULL
31,51,1,2025-06-25,12
32,109,33,2025-04-09,NULL
33,18,30,2025-07-05,NULL
34,99,4,2025-05-24,NULL
35,3,29,2025-10-01,NULL
36,82,48,2025-07-07,1
37,150,33,2025-07-25,4
38,167,20,2025-08-17,13
39,44,44,2025-07-02,14
40,92,45,2025-09-17,NULL
41,22,35,2025-09-27,5
42,190,6,2025-04-21,NULL
43,34,28,2025-06-22,NULL
44,1,4,2025-07-16,NULL
45,131,17,2025-05-30,NULL
46,66,5,2025-07-17,NULL
47,14,49,2025-09-05,NULL
48,49,28,2025-08-28,NULL
49,45,17,2025-05-31,9
50,18,13,2025-04-20,NULL
51,185,48,2025-05-07,2
52,6,12,2025-09-25,NULL
53,13,29,2025-06-22,NULL
54,170,17,2025-06-14,NULL
55,159,33,2025-07-05,NULL
56,72,17,2025-09-28,NULL
57,11,21,2025-07-22,NULL
58,86,39,2025-07-15,NULL
59,175,49,2025-05-27,11
60,1,44,2025-07-11,NULL
61,47,25,2025-06-22,4
62,116,14,2025-08-11,6
63,44,25,2025-05-12,NULL
64,188,3,2025-08-30,14
65,117,13,2025-05-25,NULL
66,183,17,2025-08-24,NULL
67,105,11,2025-05-17,NULL
68,101,46,2025-08-27,NULL
69,73,3,2025-07-22,NULL
70,153,38,2025-06-10,2
71,4,23,2025-08-09,NULL
72,129,34,2025-10-04,NULL
73,109,25,2025-04-13,11
74,35,38,2025-09-28,NULL
75,167,29,2025-08-13,NULL
76,180,32,2025-07-27,NULL
77,149,17,2025-08-11,NULL
78,153,22,2025-06-29,NULL
79,81,5,2025-08-11,6
80,30,44,2025-04-13,NULL
81,127,13,2025-04-25,NULL
82,180,24,2025-10-06,6
83,76,26,2025-06-17,NULL
84,141,45,2025-04-13,NULL
85,140,13,2025-06-07,NULL
