CustomerOrderItemID,CustomerOrderID,ProductID,Quantity,SpecialInstructions
1,1,35,1,NULL
2,2,7,3,NULL
3,2,27,2,NULL
4,2,10,3,NULL
5,2,3,3,NULL
6,2,29,1,NULL
7,3,36,2,NULL
8,3,38,1,NULL
9,3,17,3,NULL
10,3,14,2,NULL
11,4,3,1,Suo generale principe ognuno.
12,4,23,1,Sopra accompagnare espressione valere spegnere.
13,4,12,3,Verità stesso piangere vedere chiedere.
14,4,33,3,NULL
15,4,13,1,NULL
16,5,17,1,Perfetto ricerca numero nero indietro.
17,6,22,1,NULL
18,6,6,2,NULL
19,7,29,2,NULL
20,7,21,1,NULL
21,8,28,3,Meno piacere accorgersi vivo almeno voce.
22,8,23,2,Rientrare punta chissà invece guerra estate tagliare.
23,9,24,1,NULL
24,9,8,1,NULL
25,9,39,2,NULL
26,9,18,3,NULL
27,10,8,2,NULL
28,10,11,1,NULL
29,11,33,2,NULL
30,11,22,2,NULL
31,11,37,3,NULL
32,11,25,1,NULL
33,12,7,1,NULL
34,12,34,1,NULL
35,12,29,3,NULL
36,12,28,2,Fatica riunire famoso formare tuttavia noi.
37,12,9,2,Sperare scusare volere indicare collo.
38,13,28,1,NULL
39,13,6,3,NULL
40,13,12,3,NULL
41,14,23,2,NULL
42,14,36,2,NULL
43,14,20,2,Uscire giudizio assistere aiuto.
44,14,35,2,NULL
45,15,23,2,NULL
46,15,30,2,Sposare punto meno.
47,16,2,2,NULL
48,16,16,3,NULL
49,16,3,1,NULL
50,16,10,2,Fronte differenza partito situazione questo.
51,17,21,1,NULL
52,17,22,2,Milione mi maestro meglio strano piazza.
53,17,28,1,NULL
54,18,30,1,NULL
55,19,2,1,Testa ricordare proposito signora.
56,19,7,3,NULL
57,19,11,3,NULL
58,20,28,1,NULL
59,21,8,3,NULL
60,22,2,2,Fuggire preoccupare commercio senso domenica.
61,22,17,2,Pianura uscire fame.
62,22,18,3,NULL
63,22,32,1,NULL
64,23,15,3,NULL
65,23,24,2,NULL
66,24,21,1,NULL
67,25,13,3,Pianura festa faccia raggiungere campagna aria.
68,25,40,3,NULL
69,25,20,2,NULL
70,25,9,2,Casa sapere insistere.
71,25,27,1,NULL
72,26,32,1,Aprire ancora sentire ancora gettare.
73,26,20,2,Chiaro libro attività sentire.
74,26,16,1,NULL
75,26,28,3,NULL
76,27,28,1,Riconoscere passato pranzo.
77,27,17,2,Eppure immaginare rientrare trovare inoltre linea.
78,27,31,1,NULL
79,28,11,3,NULL
80,28,12,3,Tranquillo tavolo peccato nobile animale.
81,29,8,3,NULL
82,29,37,3,NULL
83,29,27,1,Arma mi fra gruppo su.
84,29,5,1,NULL
85,30,14,3,NULL
86,30,39,3,Erba cittadino divenire.
87,30,8,3,NULL
88,30,26,1,NULL
89,30,10,2,NULL
90,31,18,2,Centro calcio mentre oramai o destro.
91,32,31,3,NULL
92,32,1,1,Diretto dedicare conservare aiuto odore condurre.
93,32,33,2,Restare raccontare prova.
94,32,8,3,NULL
95,32,5,2,NULL
96,33,1,1,NULL
97,33,40,3,NULL
98,33,34,3,NULL
99,33,22,2,NULL
100,33,2,2,NULL
101,34,39,1,NULL
102,34,6,3,NULL
103,35,25,1,NULL
104,35,19,1,NULL
105,35,5,1,NULL
106,35,4,3,NULL
107,35,7,1,NULL
108,36,23,2,NULL
