LessonID,StudentID,SubjectID,PaymentID,CategoryID,StartDate,StartTime,LessonType
74,74,1,1,3,2025-04-17,16:30:00,Online
169,26,3,3,3,2025-04-17,18:00:00,Online
182,32,2,4,2,2025-04-17,16:30:00,In Presenza
188,43,7,6,1,2025-04-19,16:30:00,In Presenza
175,26,4,3,1,2025-04-21,16:30:00,In Presenza
107,2,6,8,4,2025-04-23,15:00:00,In Presenza
168,42,3,9,4,2025-04-23,15:00:00,In Presenza
14,14,1,11,2,2025-04-24,16:30:00,In Presenza
49,49,6,12,4,2025-04-24,16:30:00,Online
54,54,2,13,4,2025-04-24,16:30:00,In Presenza
150,5,6,15,1,2025-04-25,18:00:00,Online
8,8,3,17,1,2025-04-28,18:00:00,Online
81,11,6,19,2,2025-04-29,18:00:00,Online
181,13,1,21,1,2025-04-30,15:00:00,Online
4,4,6,22,4,2025-05-04,18:00:00,Online
38,38,7,NULL,1,2025-05-05,18:00:00,Online
172,68,5,24,1,2025-05-05,16:30:00,In Presenza
183,31,1,25,4,2025-05-05,16:30:00,Online
94,76,1,26,1,2025-05-06,16:30:00,Online
113,68,2,24,1,2025-05-06,15:00:00,In Presenza
199,3,2,29,2,2025-05-06,15:00:00,Online
24,24,5,30,2,2025-05-11,18:00:00,In Presenza
39,39,3,NULL,2,2025-05-11,15:00:00,In Presenza
71,71,2,NULL,2,2025-05-11,18:00:00,Online
128,59,7,31,4,2025-05-13,16:30:00,In Presenza
173,48,6,33,4,2025-05-13,15:00:00,In Presenza
93,70,2,34,4,2025-05-14,18:00:00,Online
20,20,5,NULL,1,2025-05-16,16:30:00,In Presenza
112,62,7,35,3,2025-05-17,15:00:00,In Presenza
7,7,5,36,1,2025-05-19,16:30:00,In Presenza
53,53,7,37,3,2025-05-19,18:00:00,In Presenza
161,21,2,38,3,2025-05-21,16:30:00,Online
153,18,4,39,2,2025-05-22,16:30:00,In Presenza
63,63,4,40,2,2025-05-23,16:30:00,In Presenza
83,49,4,12,4,2025-05-23,15:00:00,Online
9,9,3,41,1,2025-05-26,16:30:00,In Presenza
84,66,5,42,2,2025-05-26,16:30:00,Online
23,23,6,45,3,2025-05-27,15:00:00,Online
37,37,6,46,4,2025-05-27,15:00:00,Online
18,18,1,39,2,2025-05-28,16:30:00,Online
154,54,3,14,2,2025-05-29,16:30:00,Online
46,46,2,47,4,2025-05-30,16:30:00,Online
116,49,2,NULL,1,2025-05-30,15:00:00,In Presenza
104,1,7,48,1,2025-05-31,15:00:00,Online
2,2,4,8,2,2025-06-01,15:00:00,Online
15,15,3,NULL,3,2025-06-02,15:00:00,In Presenza
119,13,3,21,4,2025-06-03,15:00:00,In Presenza
194,32,4,5,2,2025-06-04,16:30:00,Online
134,4,3,23,4,2025-06-05,18:00:00,Online
135,43,3,7,3,2025-06-07,16:30:00,Online
13,13,3,21,2,2025-06-12,15:00:00,Online
102,76,1,27,3,2025-06-12,15:00:00,Online
103,10,7,49,2,2025-06-12,15:00:00,Online
40,40,4,50,3,2025-06-13,18:00:00,In Presenza
61,61,5,51,1,2025-06-14,16:30:00,Online
69,69,4,52,4,2025-06-15,15:00:00,In Presenza
78,78,3,NULL,1,2025-06-16,15:00:00,In Presenza
43,43,4,NULL,4,2025-06-17,18:00:00,Online
115,35,4,54,1,2025-06-17,15:00:00,Online
193,21,7,38,3,2025-06-17,15:00:00,In Presenza
1,1,2,48,1,2025-06-18,16:30:00,In Presenza
110,53,7,NULL,2,2025-06-19,16:30:00,In Presenza
156,56,1,56,2,2025-06-19,16:30:00,Online
51,51,5,NULL,1,2025-06-20,15:00:00,Online
90,18,7,NULL,2,2025-06-21,18:00:00,In Presenza
191,33,7,57,4,2025-06-22,15:00:00,In Presenza
170,47,6,58,1,2025-06-24,16:30:00,In Presenza
96,17,5,59,2,2025-06-29,18:00:00,Online
87,26,5,3,3,2025-07-01,16:30:00,Online
165,8,2,18,2,2025-07-06,18:00:00,Online
21,21,7,NULL,1,2025-07-07,15:00:00,Online
140,4,1,NULL,2,2025-07-08,15:00:00,Online
109,61,6,NULL,2,2025-07-09,18:00:00,In Presenza
123,44,4,60,4,2025-07-09,16:30:00,In Presenza
35,35,6,55,2,2025-07-10,16:30:00,Online
88,21,3,NULL,4,2025-07-10,18:00:00,Online
19,19,4,NULL,2,2025-07-11,15:00:00,Online
48,48,6,NULL,2,2025-07-11,18:00:00,In Presenza
76,76,3,28,4,2025-07-14,15:00:00,Online
65,65,2,61,4,2025-07-16,15:00:00,In Presenza
85,10,6,49,2,2025-07-17,15:00:00,Online
17,17,7,59,1,2025-07-20,16:30:00,Online
73,73,1,62,2,2025-07-20,18:00:00,Online
192,37,2,NULL,3,2025-07-24,18:00:00,Online
