PaymentID,PayerID,Amount,PaymentMethod,PaymentDate
1,11,35.0,PayPal,2025-04-17
2,57,15.0,PayPal,2025-10-17
3,33,110.0,Carta di Credito,2025-04-11
4,12,25.0,Carta di Credito,2025-04-15
5,52,60.0,Carta di Credito,2025-05-30
6,90,15.0,PayPal,2025-04-19
7,2,35.0,Bonifico,2025-06-03
8,54,75.0,Bonifico,2025-04-17
9,82,50.0,PayPal,2025-04-23
10,61,15.0,Bonifico,2025-08-17
11,79,25.0,Carta di Credito,2025-04-20
12,81,100.0,Carta di Credito,2025-04-23
13,99,50.0,Satispay,2025-04-19
14,96,25.0,Carta di Credito,2025-05-27
15,84,15.0,Bonifico,2025-04-21
16,7,25.0,Satispay,2025-09-22
17,34,15.0,Bonifico,2025-04-24
18,37,25.0,PayPal,2025-07-06
19,39,25.0,Satispay,2025-04-26
20,43,25.0,Satispay,2025-08-01
21,25,90.0,Satispay,2025-04-25
22,6,50.0,Contanti,2025-04-28
23,81,50.0,PayPal,2025-06-03
24,34,30.0,PayPal,2025-05-01
25,51,50.0,Bonifico,2025-04-28
26,33,15.0,Contanti,2025-05-04
27,57,35.0,Carta di Credito,2025-06-07
28,25,50.0,Contanti,2025-07-14
29,66,25.0,Contanti,2025-04-29
30,7,25.0,Contanti,2025-05-04
31,88,50.0,Contanti,2025-05-10
32,85,50.0,PayPal,2025-07-30
33,42,50.0,Contanti,2025-05-12
34,16,50.0,Satispay,2025-05-14
35,86,35.0,Bonifico,2025-05-11
36,76,15.0,Satispay,2025-05-19
37,57,35.0,PayPal,2025-05-19
38,92,70.0,Contanti,2025-05-19
39,52,50.0,Contanti,2025-05-18
40,65,25.0,Satispay,2025-05-22
41,85,30.0,PayPal,2025-05-23
42,93,25.0,Carta di Credito,2025-05-24
43,82,50.0,Carta di Credito,2025-10-04
44,60,50.0,Satispay,2025-10-13
45,47,35.0,Bonifico,2025-05-23
46,21,50.0,PayPal,2025-05-24
47,19,85.0,Bonifico,2025-05-30
48,89,30.0,Bonifico,2025-05-25
49,9,50.0,Satispay,2025-06-07
50,14,35.0,Carta di Credito,2025-06-13
51,53,15.0,PayPal,2025-06-14
52,95,50.0,Satispay,2025-06-13
53,67,25.0,PayPal,2025-09-27
54,39,15.0,Contanti,2025-06-17
55,86,25.0,PayPal,2025-07-07
56,1,25.0,Satispay,2025-06-12
57,71,65.0,Bonifico,2025-06-20
58,98,15.0,Bonifico,2025-06-24
59,26,40.0,Bonifico,2025-06-27
60,54,50.0,Bonifico,2025-07-09
61,28,50.0,Contanti,2025-07-14
62,75,25.0,PayPal,2025-07-14
63,25,15.0,Satispay,2025-08-05
64,59,15.0,PayPal,2025-07-18
65,64,100.0,Contanti,2025-07-29
66,21,50.0,PayPal,2025-08-03
67,63,15.0,Bonifico,2025-08-03
68,20,50.0,PayPal,2025-09-13
69,83,50.0,Bonifico,2025-08-06
70,37,35.0,Contanti,2025-08-14
71,22,35.0,Carta di Credito,2025-08-12
72,13,25.0,PayPal,2025-08-22
73,26,60.0,Carta di Credito,2025-08-24
74,89,50.0,Contanti,2025-08-25
75,11,15.0,PayPal,2025-09-02
76,98,50.0,PayPal,2025-09-02
77,77,25.0,Bonifico,2025-09-01
78,24,25.0,Bonifico,2025-09-07
79,19,50.0,PayPal,2025-09-11
80,98,60.0,Contanti,2025-09-26
81,70,15.0,Bonifico,2025-10-09
